sample_id,accuracy,window_size
311,57.328753869969034,10.0
312,58.509094427244584,10.0
313,58.52844427244582,10.0
314,59.94582043343653,10.0
315,58.19949690402477,10.0
316,57.83184984520125,10.0
317,59.1234520123839,10.0
318,61.57604489164087,10.0
319,57.02883126934985,10.0
320,55.596942724458195,10.0
321,53.216911764705884,10.0
322,55.10835913312695,10.0
323,55.73239164086687,10.0
324,60.487616099071204,10.0
325,56.782120743034056,10.0
326,61.79856811145511,10.0
327,56.66118421052631,10.0
328,60.071594427244584,10.0
329,59.0750773993808,10.0
330,59.95549535603715,10.0
331,60.80688854489164,10.0
332,55.06482198142414,10.0
333,59.20085139318886,10.0
334,55.69852941176471,10.0
335,58.90576625386996,10.0
336,60.574690402476776,10.0
337,62.42260061919505,10.0
338,60.21188080495356,10.0
339,58.65421826625387,10.0
340,57.78347523219815,10.0
341,56.6515092879257,10.0
342,55.02612229102167,10.0
343,62.63544891640868,10.0
344,58.1124226006192,10.0
345,59.732972136222905,10.0
346,56.95143188854489,10.0
347,57.135255417956664,10.0
348,54.295665634674926,10.0
349,57.31907894736842,10.0
350,57.101393188854495,10.0
351,60.77302631578947,10.0
352,58.562306501547994,10.0
353,57.43517801857586,10.0
354,57.96729876160991,10.0
355,59.07507739938081,10.0
356,56.31288699690402,10.0
357,59.752321981424146,10.0
358,60.89396284829722,10.0
359,57.77863777089783,10.0
360,61.72116873065016,10.0
361,60.913312693498455,10.0
362,60.45375386996904,10.0
363,60.110294117647065,10.0
364,57.92859907120743,10.0
365,63.33204334365325,10.0
366,55.56791795665635,10.0
367,57.96729876160991,10.0
368,63.815789473684205,10.0
369,58.90092879256966,10.0
370,61.150348297213625,10.0
371,58.77515479876161,10.0
372,58.4703947368421,10.0
373,54.5859133126935,10.0
374,57.64318885448917,10.0
375,57.41099071207431,10.0
376,57.95762383900929,10.0
377,57.76412538699691,10.0
378,62.32585139318888,10.0
379,60.04256965944271,10.0
380,61.35835913312694,10.0
381,57.83184984520124,10.0
382,61.36803405572755,10.0
383,59.97000773993808,10.0
384,60.173181114551085,10.0
385,61.06327399380805,10.0
386,60.66660216718266,10.0
387,57.98664860681115,10.0
388,58.238196594427244,10.0
389,55.85332817337462,10.0
390,57.9624613003096,10.0
391,53.90866873065016,10.0
392,61.66795665634674,10.0
393,61.68246904024768,10.0
394,55.77109133126935,10.0
395,57.54160216718266,10.0
396,57.541602167182674,10.0
397,63.414280185758514,10.0
398,58.122097523219814,10.0
399,56.830495356037154,10.0
400,60.28928018575851,10.0
401,62.41776315789473,10.0
402,61.276122291021665,10.0
403,57.02399380804953,10.0
404,57.73026315789474,10.0
405,59.5249613003096,10.0
406,57.0578560371517,10.0
407,62.81927244582043,10.0
408,61.37770897832817,10.0
409,54.65363777089783,10.0
410,62.08397832817338,10.0
411,57.67705108359133,10.0
412,59.49109907120743,10.0
413,60.80688854489164,10.0
414,64.5607585139319,10.0
415,60.71981424148606,10.0
416,63.109520123839005,10.0
417,55.93556501547988,10.0
418,55.70336687306502,10.0
419,57.299729102167184,10.0
420,52.04140866873065,10.0
421,65.218653250774,10.0
422,59.87809597523219,10.0
423,59.10410216718266,10.0
424,58.28657120743034,10.0
425,59.113777089783284,10.0
426,58.789667182662534,10.0
427,62.62577399380804,10.0
428,62.29198916408671,10.0
429,59.55882352941177,10.0
430,60.913312693498455,10.0
431,61.62925696594428,10.0
432,57.575464396284836,10.0
433,60.26509287925696,10.0
434,62.24361455108359,10.0
435,59.38467492260062,10.0
436,58.276896284829725,10.0
437,62.0404411764706,10.0
438,56.71923374613002,10.0
439,61.6486068111455,10.0
440,60.11029411764706,10.0
441,54.65363777089782,10.0
442,57.78831269349845,10.0
443,60.44407894736842,10.0
444,59.53947368421053,10.0
445,62.63061145510837,10.0
446,60.869775541795676,10.0
447,60.06191950464396,10.0
448,56.24032507739938,10.0
449,54.63428792569659,10.0
450,56.03715170278639,10.0
451,59.046052631578945,10.0
452,55.27767027863777,10.0
453,60.913312693498455,10.0
454,65.73626160990712,10.0
455,56.912732198142415,10.0
456,57.09655572755418,10.0
457,56.757933436532504,10.0
458,60.879450464396285,10.0
459,57.478715170278626,10.0
460,60.19253095975232,10.0
461,61.44543343653251,10.0
462,54.36339009287925,10.0
463,55.61629256965944,10.0
464,58.81869195046439,10.0
465,58.39299535603715,10.0
466,60.545665634674926,10.0
467,58.42202012383901,10.0
468,56.3999613003096,10.0
469,60.22155572755418,10.0
470,59.413699690402474,10.0
471,58.58165634674923,10.0
472,61.140673374613,10.0
473,59.718459752321984,10.0
474,57.79315015479876,10.0
475,57.40615325077399,10.0
476,60.56017801857586,10.0
477,57.415828173374614,10.0
478,59.82972136222911,10.0
